number,name,section,part,account_type
10207,Уставный_капитал_кредитных_организаций_созданных_в_форме_акционерного_общества,balance_accounts,Уставный_капитал_кредитных_организаций,П
10601,Прирост_стоимости_основных_средств_при_переоценке,balance_accounts,Добавочный_капитал,П
10602,Эмиссионный_доход,balance_accounts,Добавочный_капитал,П
10603,Положительная_переоценка_ценных_бумаг_имеющихся_в_наличии_для_продажи,balance_accounts,Добавочный_капитал,П
10605,Отрицательная_переоценка_ценных_бумаг_имеющихся_в_наличии_для_продажи,balance_accounts,Добавочный_капитал,А
10609,Увеличение_добавочного_капитала_на_отложенный_налог_на_прибыль,balance_accounts,Добавочный_капитал,П
10610,Уменьшение_добавочного_капитала_на_отложенный_налог_на_прибыль,balance_accounts,Добавочный_капитал,А
10701,Резервный_фонд,balance_accounts,Добавочный_капитал,П
10801,Нераспределенная_прибыль,balance_accounts,Добавочный_капитал,П
20202,Касса_кредитных_организаций,balance_accounts,Наличная_валюта_и_чеки_(в_том_числе_дорожные_чеки)__номинальная_стоимость_которых_указана_в_иностранной_валюте,А
20208,Денежные_средства_в_банкоматах_и_платежных_терминалах,balance_accounts,Наличная_валюта_и_чеки_(в_том_числе_дорожные_чеки)__номинальная_стоимость_которых_указана_в_иностранной_валюте,А
20209,Денежные_средства_в_пути,balance_accounts,Наличная_валюта_и_чеки_(в_том_числе_дорожные_чеки)__номинальная_стоимость_которых_указана_в_иностранной_валюте,А
20309,Счета_клиентов_(кроме_кредитных_организаций)_в_драгоценных_металлах,balance_accounts,Драгоценные_металлы,П
20310,Счета_клиентов-нерезидентов_(кроме_банков-нерезидентов)_в_драгоценных_металлах,balance_accounts,Драгоценные_металлы,П
30102,Корреспондентские_счета_кредитных_организаций_в_Банке_России,balance_accounts,Корреспондентские_счета,А
30109,Корреспондентские_счета_кредитных_организаций-корреспондентов,balance_accounts,Корреспондентские_счета,П
30110,Корреспондентские_счета_в_кредитных_организациях-корреспондентах,balance_accounts,Корреспондентские_счета,А
30111,Корреспондентские_счета_банков-нерезидентов,balance_accounts,Корреспондентские_счета,П
30114,Корреспондентские_счета_в_банках-нерезидентах,balance_accounts,Корреспондентские_счета,А
30119,Корреспондентские_счета_в_банках-нерезидентах_в_драгоценных_металлах,balance_accounts,Корреспондентские_счета,А
30122,"Корреспондентские_счета_банков-нерезидентов_в_валюте_Российской_Федерации_-_счета_типа_""К""_(конвертируемые)",balance_accounts,Корреспондентские_счета,П
30126,Резервы_на_возможные_потери,balance_accounts,Корреспондентские_счета,П
